p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,2.06089569728359,0.769,0.227,0,0,CD3D
0,1.87144943545932,1,0.998,0,0,MALAT1
0,1.8288339768779,0.609,0.141,0,0,CD3E
0,1.79744203405531,0.687,0.216,0,0,IFITM1
0,1.6841741440865,0.521,0.116,0,0,CD7
0,1.52685704365704,1,1,0,0,RPS27
0,1.49425372971061,1,0.999,0,0,RPL21
0,1.45388101528759,1,0.992,0,0,RPL34
0,1.40958773827813,1,0.997,0,0,RPS29
0,1.37503590061312,1,0.969,0,0,RPS25
0,1.35045591140172,1,0.997,0,0,RPL13
0,1.27873980887744,0.997,0.975,0,0,RPL30
0,1.24887267474209,1,0.995,0,0,RPS27A
0,1.22801081437145,0.999,0.99,0,0,RPS19
0,1.22061147879882,1,0.997,0,0,RPL32
0,1.20458967213086,1,0.997,0,0,RPS15A
0,1.20330051739416,0.999,0.962,0,0,RPL9
0,1.20298367483189,1,0.995,0,0,RPLP2
0,1.19827037516601,1,0.956,0,0,RPL23A
0,1.19208995032551,1,0.993,0,0,RPS14
0,1.19074574824425,1,0.999,0,0,RPS12
0,1.1807679466581,0.999,0.983,0,0,RPL35A
0,1.17569746639515,0.998,0.98,0,0,RPL31
0,1.16041156306018,0.994,0.942,0,0,RPL38
0,1.15343792146545,1,0.992,0,0,RPS6
0,1.14447817851918,0.99,0.918,0,0,RPL27
0,1.13588371932926,1,0.998,0,0,RPL10
0,1.10215407804368,0.997,0.963,0,0,RPS13
0,1.09050493548789,1,0.974,0,0,RPS8
0,1.08445755109256,1,0.992,0,0,RPL11
0,1.06814392863837,1,0.989,0,0,RPS28
0,1.0576186862074,0.997,0.975,0,0,RPL36
0,1.05172782669827,0.996,0.949,0,0,RPS20
0,1.04532026813596,1,0.995,0,0,RPL13A
0,1.02942611158273,0.997,0.967,0,0,RPS16
0,1.02299079864679,1,0.996,0,0,RPS18
0,1.02113512150367,0.999,0.976,0,0,RPL3
0,0.99798145566187,1,0.995,0,0,RPL41
0,0.979586328833524,1,0.986,0,0,RPL39
0,0.97759764084731,1,0.995,0,0,RPL18A
0,0.951647882023686,0.999,0.98,0,0,RPL12
0,0.935298438971109,0.997,0.99,0,0,RPS3A
0,0.90207118372804,0.999,0.985,0,0,RPL19
0,0.897283116618886,0.997,0.982,0,0,RPL27A
7.14824223666172e-303,0.872429927592055,0.999,0.99,1.33479127285184e-298,0,RPS3
6.38882327984258e-300,0.936590945261361,0.997,0.968,1.19298497104501e-295,0,RPS5
1.12847702974295e-299,0.95363693260781,0.985,0.949,2.10720515763901e-295,0,RPL18
5.39618962847828e-292,1.69783318106483,0.619,0.204,1.00763048932575e-287,0,TRAC
1.06071401608631e-285,0.846113299381933,0.999,0.998,1.98067128223798e-281,0,B2M
1.57700346557458e-282,0.861393948818429,0.997,0.977,2.94473857126742e-278,0,RPS4X
3.72972367146083e-282,0.921238515486864,0.99,0.954,6.96451301171881e-278,0,RPL10A
6.00258295193313e-278,0.960511133843689,0.997,0.946,1.12086231461447e-273,0,RPL6
1.98152320880975e-276,0.864487631775853,0.999,0.986,3.70009828781045e-272,0,RPS17
1.9164731280064e-271,0.979520629137461,0.983,0.913,3.57863027192635e-267,0,RPL22
3.85279003201249e-271,1.53743430710786,0.759,0.394,7.19431482677692e-267,0,LTB
2.42949077194133e-268,0.840728820313223,0.999,0.981,4.53658811844604e-264,0,RPL37
5.08550542069817e-266,1.1085516194363,0.994,0.833,9.49616427206969e-262,0,RPL36A
5.28178678544707e-266,1.24647756604781,0.967,0.697,9.86268046446531e-262,0,RPL17
4.27110507528745e-264,1.52335611669046,0.45,0.09,7.97543450708426e-260,0,CD3G
1.06598167905259e-254,0.926906836711347,0.984,0.924,1.9905075892949e-250,0,RPL5
